program_name_and_version,EnergyPlus 25.2.0
program_version_release_date,11/14/25
program_name_short,E+
results_submission_date,6/9/26
organization,National Laboratory of the Rockies
organization_short,NLR
CE195 evaporator_coil_load_sensible,226.958
CE195 evaporator_coil_load_latent,369.623
CE195 zone_load_total,573.974
CE195 zone_load_sensible,205.693
CE195 zone_load_latent,368.281
CE195 feb_mean_cop,2.29892
CE195 feb_mean_idb,22.2003
CE195 feb_mean_humidity_ratio,0.0154632
CE195 feb_max_cop,2.3164
CE195 feb_max_idb,22.2004
CE195 feb_max_humidity_ratio,0.0159076
CE195 feb_min_cop,2.28837
CE195 feb_min_idb,22.2003
CE195 feb_min_humidity_ratio,0.0152963
CE200 clg_energy_consumption_total,1465.49
CE200 clg_energy_consumption_supply_fan,153.511
CE200 evaporator_coil_load_total,5483.82
CE200 evaporator_coil_load_sensible,4262.79
CE200 evaporator_coil_load_latent,1221.03
CE200 zone_load_total,5330.31
CE200 zone_load_sensible,4119.79
CE200 zone_load_latent,1210.52
CE200 feb_mean_cop,3.63721
CE200 feb_mean_idb,26.7014
CE200 feb_mean_humidity_ratio,0.0113771
CE200 feb_max_cop,3.64247
CE200 feb_max_idb,26.7018
CE200 feb_max_humidity_ratio,0.011406
CE200 feb_min_cop,3.63149
CE200 feb_min_idb,26.701
CE200 feb_min_humidity_ratio,0.0112809
CE300 ann_sum_clg_energy_consumption_total,35068.8
CE300 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE300 ann_sum_evap_coil_load_total,78484.2
CE300 ann_sum_evap_coil_load_sensible,55163.1
CE300 ann_sum_evap_coil_load_latent,23321.1
CE300 ann_mean_cop_2,3.24226
CE300 ann_mean_idb,24.0902
CE300 ann_mean_zone_humidity_ratio,0.00914554
CE300 ann_mean_zone_relative_humidity,47.8428
CE300 ann_mean_odb,19.9141
CE300 ann_mean_outdoor_humidity_ratio,0.0116079
CE310 ann_sum_clg_energy_consumption_total,39455.2
CE310 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE310 ann_sum_evap_coil_load_total,97425.8
CE310 ann_sum_evap_coil_load_sensible,55041.3
CE310 ann_sum_evap_coil_load_latent,42384.5
CE310 ann_mean_cop_2,3.40732
CE310 ann_mean_idb,24.0994
CE310 ann_mean_zone_humidity_ratio,0.0111408
CE310 ann_mean_zone_relative_humidity,57.8667
CE320 ann_sum_clg_energy_consumption_total,39401.2
CE320 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE320 ann_sum_evap_coil_load_total,97530.1
CE320 ann_sum_evap_coil_load_sensible,61677
CE320 ann_sum_evap_coil_load_latent,35853.1
CE320 ann_mean_cop_2,3.41742
CE320 ann_mean_idb,24.2377
CE320 ann_mean_zone_humidity_ratio,0.0100254
CE320 ann_mean_zone_relative_humidity,51.377
CE330 ann_sum_clg_energy_consumption_total,40517.1
CE330 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE330 ann_sum_evap_coil_load_total,104004
CE330 ann_sum_evap_coil_load_sensible,62976.9
CE330 ann_sum_evap_coil_load_latent,41027.6
CE330 ann_mean_cop_2,3.50715
CE330 ann_mean_idb,24.3009
CE330 ann_mean_zone_humidity_ratio,0.00986643
CE330 ann_mean_zone_relative_humidity,50.5172
CE340 ann_sum_clg_energy_consumption_total,40108.1
CE340 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE340 ann_sum_evap_coil_load_total,101273
CE340 ann_sum_evap_coil_load_sensible,62310.3
CE340 ann_sum_evap_coil_load_latent,38962.9
CE340 ann_mean_cop_2,3.4628
CE340 ann_mean_idb,24.3155
CE340 ann_mean_zone_humidity_ratio,0.00988927
CE340 ann_mean_zone_relative_humidity,50.5666
CE350 ann_sum_clg_energy_consumption_total,31424.6
CE350 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE350 ann_sum_evap_coil_load_total,66745.5
CE350 ann_sum_evap_coil_load_sensible,48335.5
CE350 ann_sum_evap_coil_load_latent,18410
CE350 ann_mean_cop_2,3.24598
CE350 ann_mean_idb,26.2401
CE350 ann_mean_zone_humidity_ratio,0.00978079
CE350 ann_mean_zone_relative_humidity,44.5124
CE360 ann_sum_clg_energy_consumption_total,54966.4
CE360 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE360 ann_sum_evap_coil_load_total,162312
CE360 ann_sum_evap_coil_load_sensible,134627
CE360 ann_sum_evap_coil_load_latent,27685.1
CE360 ann_mean_cop_2,3.68018
CE360 ann_mean_idb,25.4588
CE360 ann_mean_zone_humidity_ratio,0.00858305
CE360 ann_mean_zone_relative_humidity,41.1943
CE400 ann_sum_clg_energy_consumption_total,30806.5
CE400 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE400 ann_sum_evap_coil_load_total,64231.5
CE400 ann_sum_evap_coil_load_sensible,41879.4
CE400 ann_sum_evap_coil_load_latent,22352.1
CE400 ann_mean_cop_2,3.22052
CE400 ann_mean_idb,23.1746
CE400 ann_mean_zone_humidity_ratio,0.00975831
CE400 ann_mean_zone_relative_humidity,53.6434
CE410 ann_sum_clg_energy_consumption_total,30806.5
CE410 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE410 ann_sum_evap_coil_load_total,64231.5
CE410 ann_sum_evap_coil_load_sensible,41879.4
CE410 ann_sum_evap_coil_load_latent,22352.1
CE410 ann_mean_cop_2,3.22052
CE410 ann_mean_idb,23.1746
CE410 ann_mean_zone_humidity_ratio,0.00975831
CE410 ann_mean_zone_relative_humidity,53.6434
CE420 ann_sum_clg_energy_consumption_total,32983.1
CE420 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE420 ann_sum_evap_coil_load_total,71269.4
CE420 ann_sum_evap_coil_load_sensible,49348.1
CE420 ann_sum_evap_coil_load_latent,21921.2
CE420 ann_mean_cop_2,3.22179
CE420 ann_mean_idb,23.2469
CE420 ann_mean_zone_humidity_ratio,0.0093292
CE420 ann_mean_zone_relative_humidity,51.2432
CE430 ann_sum_clg_energy_consumption_total,32145.1
CE430 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE430 ann_sum_evap_coil_load_total,68492.2
CE430 ann_sum_evap_coil_load_sensible,46962.8
CE430 ann_sum_evap_coil_load_latent,21529.4
CE430 ann_mean_cop_2,3.21816
CE430 ann_mean_idb,23.2047
CE430 ann_mean_zone_humidity_ratio,0.00936064
CE430 ann_mean_zone_relative_humidity,51.5474
CE440 ann_sum_clg_energy_consumption_total,33307
CE440 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE440 ann_sum_evap_coil_load_total,72441
CE440 ann_sum_evap_coil_load_sensible,49949.9
CE440 ann_sum_evap_coil_load_latent,22491.1
CE440 ann_mean_cop_2,3.22751
CE440 ann_mean_idb,23.3641
CE440 ann_mean_zone_humidity_ratio,0.00920884
CE440 ann_mean_zone_relative_humidity,50.1361
CE500 ann_sum_clg_energy_consumption_total,23081.5
CE500 ann_sum_clg_energy_consumption_supply_fan,2631.62
CE500 ann_sum_evap_coil_load_total,65590.4
CE500 ann_sum_evap_coil_load_sensible,47358.4
CE500 ann_sum_evap_coil_load_latent,18232
CE500 ann_mean_cop_2,3.20737
CE500 ann_mean_idb,20.4436
CE500 ann_mean_zone_humidity_ratio,0.00912043
CE500 ann_mean_zone_relative_humidity,57.6855
CE520 ann_sum_clg_energy_consumption_total,25814
CE520 ann_sum_clg_energy_consumption_supply_fan,3140.9
CE520 ann_sum_evap_coil_load_total,66212.7
CE520 ann_sum_evap_coil_load_sensible,47983.7
CE520 ann_sum_evap_coil_load_latent,18229
CE520 ann_mean_cop_2,2.92032
CE520 ann_mean_idb,13.6599
CE520 ann_mean_zone_humidity_ratio,0.00599849
CE520 ann_mean_zone_relative_humidity,60.6337
CE522 ann_sum_clg_energy_consumption_total,24389.1
CE522 ann_sum_clg_energy_consumption_supply_fan,2879.52
CE522 ann_sum_evap_coil_load_total,65894.5
CE522 ann_sum_evap_coil_load_sensible,47663.9
CE522 ann_sum_evap_coil_load_latent,18230.7
CE522 ann_mean_cop_2,3.0635
CE522 ann_mean_idb,17.0701
CE522 ann_mean_zone_humidity_ratio,0.00745972
CE522 ann_mean_zone_relative_humidity,59.4228
CE525 ann_sum_clg_energy_consumption_total,20791.2
CE525 ann_sum_clg_energy_consumption_supply_fan,2194.14
CE525 ann_sum_evap_coil_load_total,65029.5
CE525 ann_sum_evap_coil_load_sensible,46798
CE525 ann_sum_evap_coil_load_latent,18231.4
CE525 ann_mean_cop_2,3.49676
CE525 ann_mean_idb,27.1711
CE525 ann_mean_zone_humidity_ratio,0.0133269
CE525 ann_mean_zone_relative_humidity,53.4646
CE530 ann_sum_clg_energy_consumption_total,18005.4
CE530 ann_sum_clg_energy_consumption_supply_fan,2123.83
CE530 ann_sum_evap_coil_load_total,46990.5
CE530 ann_sum_evap_coil_load_sensible,46990.3
CE530 ann_sum_evap_coil_load_latent,0.27299
CE530 ann_mean_cop_2,2.9588
CE530 ann_mean_idb,20.5842
CE530 ann_mean_zone_humidity_ratio,0.00642666
CE530 ann_mean_zone_relative_humidity,47.2257
CE540 ann_sum_clg_energy_consumption_total,20130.7
CE540 ann_sum_clg_energy_consumption_supply_fan,2495.1
CE540 ann_sum_evap_coil_load_total,47483.5
CE540 ann_sum_evap_coil_load_sensible,47474.6
CE540 ann_sum_evap_coil_load_latent,8.95342
CE540 ann_mean_cop_2,2.69247
CE540 ann_mean_idb,13.7915
CE540 ann_mean_zone_humidity_ratio,0.00430642
CE540 ann_mean_zone_relative_humidity,45.8869
CE545 ann_sum_clg_energy_consumption_total,16611.3
CE545 ann_sum_clg_energy_consumption_supply_fan,1865.66
CE545 ann_sum_evap_coil_load_total,46636.3
CE545 ann_sum_evap_coil_load_sensible,46636.3
CE545 ann_sum_evap_coil_load_latent,-8.94E-14
CE545 ann_mean_cop_2,3.16273
CE545 ann_mean_idb,27.3108
CE545 ann_mean_zone_humidity_ratio,0.00673561
CE545 ann_mean_zone_relative_humidity,38.6191
CE500 May-Sep may_sept_sum_clg_consumption_total,18034.8
CE500 May-Sep may_sept_sum_clg_consumption_indoor_fan,2031.56
CE500 May-Sep may_sept_sum_evap_coil_load_total,50355.4
CE500 May-Sep may_sept_sum_evap_coil_load_sensible,36365.5
CE500 May-Sep may_sept_sum_evap_coil_load_latent,13989.9
CE500 May-Sep may_sept_mean_cop_2,3.14657
CE500 May-Sep may_sept_mean_idb,25.0003
CE500 May-Sep may_sept_mean_zone_humidity_ratio,0.0109549
CE500 May-Sep may_sept_mean_zone_relative_humidity,55.3807
CE510 May-Sep may_sept_sum_clg_consumption_total,35791.2
CE510 May-Sep may_sept_sum_clg_consumption_indoor_fan,4065.9
CE510 May-Sep may_sept_sum_evap_coil_load_total,112795
CE510 May-Sep may_sept_sum_evap_coil_load_sensible,81315.6
CE510 May-Sep may_sept_sum_evap_coil_load_latent,31479.4
CE510 May-Sep may_sept_mean_cop_2,3.55536
CE510 May-Sep may_sept_mean_idb,25.0001
CE510 May-Sep may_sept_mean_zone_humidity_ratio,0.0109749
CE510 May-Sep may_sept_mean_zone_relative_humidity,55.4806
CE300 energy_consumption_comp_both_fans_wh,12008.3
CE300 energy_consumption_comp_both_fans_date,20-Jul
CE300 energy_consumption_comp_both_fans_hr,15
CE300 evap_coil_load_sensible_wh,23460.4
CE300 evap_coil_load_sensible_date,20-Jul
CE300 evap_coil_load_sensible_hr,15
CE300 evap_coil_load_latent_wh,10627.1
CE300 evap_coil_load_latent_date,10-Jul
CE300 evap_coil_load_latent_hr,13
CE300 evap_coil_load_sensible_and_latent_wh,33102.8
CE300 evap_coil_load_sensible_and_latent_date,20-Jul
CE300 evap_coil_load_sensible_and_latent_hr,15
CE300 CE300 weather_odb_c,34.775
CE300 CE300 weather_odb_date,20-Jul
CE300 CE300 weather_odb_hr,15
CE300 CE300 weather_outdoor_humidity_ratio_c,0.0218679
CE300 CE300 weather_outdoor_humidity_ratio_date,2-Oct
CE300 CE300 weather_outdoor_humidity_ratio_hr,9
CE310 energy_consumption_comp_both_fans_wh,12573.7
CE310 energy_consumption_comp_both_fans_date,20-Jul
CE310 energy_consumption_comp_both_fans_hr,15
CE310 evap_coil_load_sensible_wh,23129
CE310 evap_coil_load_sensible_date,11-Jul
CE310 evap_coil_load_sensible_hr,16
CE310 evap_coil_load_latent_wh,16664
CE310 evap_coil_load_latent_date,4-Aug
CE310 evap_coil_load_latent_hr,15
CE310 evap_coil_load_sensible_and_latent_wh,37377.4
CE310 evap_coil_load_sensible_and_latent_date,17-Sep
CE310 evap_coil_load_sensible_and_latent_hr,15
CE320 energy_consumption_comp_both_fans_wh,12991.9
CE320 energy_consumption_comp_both_fans_date,20-Jul
CE320 energy_consumption_comp_both_fans_hr,15
CE320 evap_coil_load_sensible_wh,31511.1
CE320 evap_coil_load_sensible_date,24-Apr
CE320 evap_coil_load_sensible_hr,16
CE320 evap_coil_load_latent_wh,22778.4
CE320 evap_coil_load_latent_date,2-Oct
CE320 evap_coil_load_latent_hr,10
CE320 evap_coil_load_sensible_and_latent_wh,40106.3
CE320 evap_coil_load_sensible_and_latent_date,2-Oct
CE320 evap_coil_load_sensible_and_latent_hr,10
CE330 energy_consumption_comp_both_fans_wh,13358.2
CE330 energy_consumption_comp_both_fans_date,20-Jul
CE330 energy_consumption_comp_both_fans_hr,15
CE330 evap_coil_load_sensible_wh,34588.6
CE330 evap_coil_load_sensible_date,14-Jun
CE330 evap_coil_load_sensible_hr,14
CE330 evap_coil_load_latent_wh,27609.7
CE330 evap_coil_load_latent_date,18-Sep
CE330 evap_coil_load_latent_hr,16
CE330 evap_coil_load_sensible_and_latent_wh,43602.8
CE330 evap_coil_load_sensible_and_latent_date,2-Oct
CE330 evap_coil_load_sensible_and_latent_hr,9
CE340 energy_consumption_comp_both_fans_wh,13177.6
CE340 energy_consumption_comp_both_fans_date,20-Jul
CE340 energy_consumption_comp_both_fans_hr,15
CE340 evap_coil_load_sensible_wh,32733
CE340 evap_coil_load_sensible_date,24-Apr
CE340 evap_coil_load_sensible_hr,15
CE340 evap_coil_load_latent_wh,24491.9
